badmintonnen, Badminton spielen
schaatsen, eislaufen / Schlittschuh laufen
fietsen, Fahrrad fahren
voetballen, Fußball spielen
hockeyen, Hockey spielen
naar de sportschool gaan, ins Fitnessstudio gehen
hardlopen, joggen
judoën, Judo machen
klimmen, klettern
aan atletiek doen, Leichtathletik machen
aan scouting doen, Pfadfinder sein
paardrijden, reiten
roeien, rudern
schaken, Schach spielen
zwemmen, schwimmen
zeilen, segeln
skaten, skaten
skiën, Ski fahren
dansen, tanzen
tennissen, Tennis spielen
de wedstrijd, der Wettbewerb
de wedstrijd (balsporten), das Spiel
drie keer per week, dreimal pro Woche
één keer per dag, einmal pro Tag
dagelijks, täglich
meestal, meistens
nooit, nie
vaak, oft
sinds één jaar, seit einem Jahr
sinds twee jaar, seit zwei Jahren
twee keer per maand, zweimal pro Monat
