auch	ook
der Aufzug | die Aufzüge	de lift
brauchen	nodig hebben
dürfen	mogen
die Entschuldigung | die Entschuldigungen	"het excuus	 sorry"
die Farbe | die Farben	de kleur
das Fenster | die Fenster	het raam
das Geschäft | die Geschäfte	de winkel
gleich	"zo	 meteen"
man	men
mögen	"houden van	 leuk/lekker vinden"
der Nachbar | die Nachbarn	de buurman
die Nachbarin | die Nachbarinnen	de buurvrouw
schlau	slim
schrecklich	verschrikkelijk
der Schreibtisch | die Schreibtische	het bureau
später	later
stolz	trots
süß	"lief	 schattig	 zoet"
vielleicht	misschien
die Wand | die Wände	"de wand	 de muur"
weit	ver
das Wohnviertel | die Wohnviertel	de woonwijk
